,Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
4780,2008,1,4,5,1140.0,1105,1449.0,1420,WN,154,N376SW,129.0,135.0,105.0,29.0,35.0,PHX,AUS,872,3.0,21.0,0,N,0,26.0,0.0,0.0,0.0,3.0
4781,2008,1,4,5,2039.0,2015,2341.0,2320,WN,780,N264LV,122.0,125.0,108.0,21.0,24.0,PHX,AUS,872,6.0,8.0,0,N,0,4.0,0.0,0.0,0.0,17.0
4782,2008,1,4,5,1614.0,1600,1915.0,1910,WN,3409,N514SW,121.0,130.0,103.0,5.0,14.0,PHX,AUS,872,5.0,13.0,0,N,0,,,,,
4784,2008,1,4,5,1959.0,1935,2353.0,2340,WN,1214,N283WN,174.0,185.0,161.0,13.0,24.0,PHX,BHM,1455,3.0,10.0,0,N,0,,,,,
4785,2008,1,4,5,2057.0,2005,53.0,15,WN,109,N766SW,176.0,190.0,163.0,38.0,52.0,PHX,BNA,1448,7.0,6.0,0,N,0,9.0,0.0,0.0,0.0,29.0
4786,2008,1,4,5,653.0,640,1045.0,1050,WN,638,N409WN,172.0,190.0,157.0,-5.0,13.0,PHX,BNA,1448,5.0,10.0,0,N,0,,,,,
4787,2008,1,4,5,1639.0,1555,2037.0,2005,WN,891,N213WN,178.0,190.0,161.0,32.0,44.0,PHX,BNA,1448,4.0,13.0,0,N,0,6.0,0.0,0.0,0.0,26.0
4788,2008,1,4,5,1328.0,1255,1725.0,1710,WN,1058,N438WN,177.0,195.0,158.0,15.0,33.0,PHX,BNA,1448,4.0,15.0,0,N,0,0.0,0.0,0.0,0.0,15.0
4793,2008,1,4,5,1756.0,1750,1825.0,1810,WN,806,N282WN,89.0,80.0,76.0,15.0,6.0,PHX,BUR,369,2.0,11.0,0,N,0,0.0,0.0,9.0,0.0,6.0
4794,2008,1,4,5,1850.0,1835,1911.0,1855,WN,921,N254WN,81.0,80.0,72.0,16.0,15.0,PHX,BUR,369,3.0,6.0,0,N,0,0.0,0.0,1.0,0.0,15.0
4795,2008,1,4,5,1117.0,1055,1149.0,1125,WN,957,N504SW,92.0,90.0,75.0,24.0,22.0,PHX,BUR,369,1.0,16.0,0,N,0,8.0,0.0,2.0,0.0,14.0
4797,2008,1,4,5,2045.0,2010,2113.0,2035,WN,2871,N249WN,88.0,85.0,77.0,38.0,35.0,PHX,BUR,369,4.0,7.0,0,N,0,0.0,0.0,3.0,0.0,35.0
4798,2008,1,4,5,2341.0,2135,2.0,2155,WN,3323,N472WN,81.0,80.0,71.0,127.0,126.0,PHX,BUR,369,4.0,6.0,0,N,0,15.0,0.0,1.0,0.0,111.0
4803,2008,1,4,5,1506.0,1445,2111.0,2055,WN,1686,N792SW,245.0,250.0,225.0,16.0,21.0,PHX,BWI,1999,3.0,17.0,0,N,0,9.0,0.0,0.0,0.0,7.0
4804,2008,1,4,5,913.0,905,1427.0,1440,WN,2103,N787SA,194.0,215.0,182.0,-13.0,8.0,PHX,CMH,1671,3.0,9.0,0,N,0,,,,,
4805,2008,1,4,5,948.0,930,1125.0,1115,WN,873,N752SW,97.0,105.0,81.0,10.0,18.0,PHX,DEN,602,6.0,10.0,0,N,0,,,,,
4806,2008,1,4,5,2022.0,1945,2205.0,2130,WN,964,N262WN,103.0,105.0,90.0,35.0,37.0,PHX,DEN,602,7.0,6.0,0,N,0,9.0,0.0,0.0,0.0,26.0
4808,2008,1,4,5,1326.0,1320,1513.0,1505,WN,2039,N654SW,107.0,105.0,84.0,8.0,6.0,PHX,DEN,602,7.0,16.0,0,N,0,,,,,
4809,2008,1,4,5,1753.0,1540,1931.0,1720,WN,2786,N227WN,98.0,100.0,85.0,131.0,133.0,PHX,DEN,602,8.0,5.0,0,N,0,3.0,0.0,0.0,0.0,128.0
4810,2008,1,4,5,2134.0,2035,2310.0,2220,WN,3669,N359SW,96.0,105.0,83.0,50.0,59.0,PHX,DEN,602,6.0,7.0,0,N,0,0.0,0.0,0.0,0.0,50.0
4812,2008,1,4,5,750.0,740,848.0,845,WN,23,N653SW,58.0,65.0,47.0,3.0,10.0,PHX,ELP,347,2.0,9.0,0,N,0,,,,,
4813,2008,1,4,5,1346.0,1305,1444.0,1410,WN,116,N349SW,58.0,65.0,47.0,34.0,41.0,PHX,ELP,347,2.0,9.0,0,N,0,0.0,0.0,0.0,18.0,16.0
4814,2008,1,4,5,1929.0,1900,2031.0,2005,WN,481,N779SW,62.0,65.0,50.0,26.0,29.0,PHX,ELP,347,5.0,7.0,0,N,0,0.0,0.0,0.0,0.0,26.0
4815,2008,1,4,5,1510.0,1500,1613.0,1605,WN,1506,N484WN,63.0,65.0,47.0,8.0,10.0,PHX,ELP,347,3.0,13.0,0,N,0,,,,,
4816,2008,1,4,5,1752.0,1720,1857.0,1825,WN,1745,N784SW,65.0,65.0,49.0,32.0,32.0,PHX,ELP,347,5.0,11.0,0,N,0,32.0,0.0,0.0,0.0,0.0
4817,2008,1,4,5,2204.0,2135,2301.0,2240,WN,3140,N736SA,57.0,65.0,47.0,21.0,29.0,PHX,ELP,347,4.0,6.0,0,N,0,9.0,0.0,0.0,0.0,12.0
4818,2008,1,4,5,1040.0,1020,1151.0,1125,WN,3419,N242WN,71.0,65.0,48.0,26.0,20.0,PHX,ELP,347,4.0,19.0,0,N,0,18.0,0.0,6.0,0.0,2.0
4819,2008,1,4,5,1305.0,1250,1624.0,1620,WN,342,N324SW,139.0,150.0,125.0,4.0,15.0,PHX,HOU,1020,4.0,10.0,0,N,0,,,,,
4820,2008,1,4,5,1957.0,1615,2307.0,1940,WN,933,N729SW,130.0,145.0,121.0,207.0,222.0,PHX,HOU,1020,2.0,7.0,0,N,0,0.0,0.0,14.0,0.0,193.0
4822,2008,1,4,5,2037.0,2000,2351.0,2320,WN,2268,N651SW,134.0,140.0,122.0,31.0,37.0,PHX,HOU,1020,3.0,9.0,0,N,0,5.0,0.0,0.0,0.0,26.0
4823,2008,1,4,5,923.0,915,1239.0,1250,WN,3317,N332SW,136.0,155.0,124.0,-11.0,8.0,PHX,HOU,1020,3.0,9.0,0,N,0,,,,,
4825,2008,1,4,5,1816.0,1725,2324.0,2245,WN,2726,N281WN,188.0,200.0,172.0,39.0,51.0,PHX,IND,1489,9.0,7.0,0,N,0,2.0,0.0,0.0,0.0,37.0
4826,2008,1,4,5,1355.0,1345,1351.0,1350,WN,221,N766SW,56.0,65.0,45.0,1.0,10.0,PHX,LAS,256,3.0,8.0,0,N,0,,,,,
4827,2008,1,4,5,1621.0,1615,1632.0,1620,WN,340,N645SW,71.0,65.0,46.0,12.0,6.0,PHX,LAS,256,8.0,17.0,0,N,0,,,,,
4829,2008,1,4,5,1539.0,1505,1541.0,1505,WN,538,N358SW,62.0,60.0,48.0,36.0,34.0,PHX,LAS,256,5.0,9.0,0,N,0,24.0,0.0,2.0,0.0,10.0
4838,2008,1,4,5,1512.0,1435,1516.0,1440,WN,1318,N486WN,64.0,65.0,47.0,36.0,37.0,PHX,LAS,256,5.0,12.0,0,N,0,0.0,0.0,6.0,0.0,30.0
4842,2008,1,4,5,1302.0,1155,1259.0,1205,WN,3507,N397SW,57.0,70.0,46.0,54.0,67.0,PHX,LAS,256,4.0,7.0,0,N,0,54.0,0.0,0.0,0.0,0.0
4846,2008,1,4,5,1832.0,1815,1915.0,1835,WN,303,N626SW,103.0,80.0,70.0,40.0,17.0,PHX,LAX,370,12.0,21.0,0,N,0,0.0,0.0,40.0,0.0,0.0
4847,2008,1,4,5,2000.0,1915,2055.0,1935,WN,343,N674AA,115.0,80.0,72.0,80.0,45.0,PHX,LAX,370,19.0,24.0,0,N,0,0.0,0.0,80.0,0.0,0.0
4848,2008,1,4,5,1048.0,1040,1141.0,1105,WN,769,N345SA,113.0,85.0,77.0,36.0,8.0,PHX,LAX,370,12.0,24.0,0,N,0,0.0,0.0,28.0,8.0,0.0
4849,2008,1,4,5,2224.0,2050,2307.0,2115,WN,1033,N708SA,103.0,85.0,71.0,112.0,94.0,PHX,LAX,370,15.0,17.0,0,N,0,0.0,0.0,112.0,0.0,0.0
4852,2008,1,4,5,1829.0,1735,1912.0,1755,WN,2359,N243WN,103.0,80.0,74.0,77.0,54.0,PHX,LAX,370,11.0,18.0,0,N,0,0.0,54.0,23.0,0.0,0.0
4853,2008,1,4,5,1322.0,1315,1359.0,1335,WN,2360,N494WN,97.0,80.0,72.0,24.0,7.0,PHX,LAX,370,8.0,17.0,0,N,0,7.0,0.0,17.0,0.0,0.0
4855,2008,1,4,5,1703.0,1610,1744.0,1630,WN,2812,N345SA,101.0,80.0,75.0,74.0,53.0,PHX,LAX,370,6.0,20.0,0,N,0,0.0,0.0,21.0,0.0,53.0
4857,2008,1,4,5,2341.0,1955,306.0,2330,WN,753,N726SW,145.0,155.0,132.0,216.0,226.0,PHX,LIT,1136,5.0,8.0,0,N,0,2.0,0.0,0.0,0.0,214.0
4858,2008,1,4,5,2008.0,1900,2331.0,2230,WN,84,N347SW,143.0,150.0,130.0,61.0,68.0,PHX,MCI,1044,4.0,9.0,0,N,0,8.0,0.0,0.0,0.0,53.0
4859,2008,1,4,5,2207.0,2105,124.0,35,WN,835,N231WN,137.0,150.0,125.0,49.0,62.0,PHX,MCI,1044,3.0,9.0,0,N,0,0.0,0.0,0.0,0.0,49.0
4860,2008,1,4,5,1247.0,1240,1600.0,1610,WN,1006,N267WN,133.0,150.0,120.0,-10.0,7.0,PHX,MCI,1044,4.0,9.0,0,N,0,,,,,
4863,2008,1,4,5,2047.0,2030,48.0,45,WN,349,N291WN,181.0,195.0,169.0,3.0,17.0,PHX,MDW,1444,6.0,6.0,0,N,0,,,,,
4865,2008,1,4,5,1952.0,1920,2350.0,2340,WN,1566,N293,178.0,200.0,167.0,10.0,32.0,PHX,MDW,1444,5.0,6.0,0,N,0,,,,,
4866,2008,1,4,5,1150.0,1050,1603.0,1515,WN,1667,N706SW,193.0,205.0,166.0,48.0,60.0,PHX,MDW,1444,4.0,23.0,0,N,0,33.0,0.0,0.0,0.0,15.0
4867,2008,1,4,5,1619.0,1610,2032.0,2030,WN,1929,N711HK,193.0,200.0,172.0,2.0,9.0,PHX,MDW,1444,5.0,16.0,0,N,0,,,,,
4868,2008,1,4,5,1317.0,1230,1721.0,1655,WN,2474,N437WN,184.0,205.0,168.0,26.0,47.0,PHX,MDW,1444,6.0,10.0,0,N,0,3.0,0.0,0.0,0.0,23.0
4872,2008,1,4,5,1232.0,1215,1611.0,1605,WN,1167,N482WN,159.0,170.0,146.0,6.0,17.0,PHX,MSY,1301,4.0,9.0,0,N,0,,,,,
4873,2008,1,4,5,1756.0,1715,1855.0,1820,WN,357,N690SW,119.0,125.0,103.0,35.0,41.0,PHX,OAK,646,6.0,10.0,0,N,0,0.0,0.0,0.0,0.0,35.0
4875,2008,1,4,5,1145.0,1130,1322.0,1235,WN,1028,N667SW,157.0,125.0,129.0,47.0,15.0,PHX,OAK,646,5.0,23.0,0,N,0,15.0,0.0,32.0,0.0,0.0
4876,2008,1,4,5,1958.0,1905,2102.0,2005,WN,2336,N737JW,124.0,120.0,108.0,57.0,53.0,PHX,OAK,646,7.0,9.0,0,N,0,17.0,0.0,4.0,0.0,36.0
4877,2008,1,4,5,939.0,925,1055.0,1035,WN,2646,N637SW,136.0,130.0,122.0,20.0,14.0,PHX,OAK,646,4.0,10.0,0,N,0,14.0,0.0,6.0,0.0,0.0
4879,2008,1,4,5,2209.0,2150,2308.0,2250,WN,3492,N299WN,119.0,120.0,109.0,18.0,19.0,PHX,OAK,646,4.0,6.0,0,N,0,12.0,0.0,0.0,0.0,6.0
4882,2008,1,4,5,1245.0,1235,1531.0,1540,WN,940,N362SW,106.0,125.0,96.0,-9.0,10.0,PHX,OKC,833,3.0,7.0,0,N,0,,,,,
4883,2008,1,4,5,1616.0,1515,1941.0,1840,WN,316,N343SW,145.0,145.0,130.0,61.0,61.0,PHX,OMA,1037,3.0,12.0,0,N,0,3.0,0.0,0.0,0.0,58.0
4884,2008,1,4,5,2049.0,2015,12.0,2340,WN,559,N506SW,143.0,145.0,133.0,32.0,34.0,PHX,OMA,1037,2.0,8.0,0,N,0,0.0,0.0,0.0,0.0,32.0
4887,2008,1,4,5,1611.0,1550,1621.0,1555,WN,508,N241WN,70.0,65.0,55.0,26.0,21.0,PHX,ONT,325,5.0,10.0,0,N,0,0.0,3.0,5.0,0.0,18.0
4888,2008,1,4,5,931.0,910,939.0,925,WN,560,N366SW,68.0,75.0,55.0,14.0,21.0,PHX,ONT,325,4.0,9.0,0,N,0,,,,,
4889,2008,1,4,5,1023.0,1000,1045.0,1020,WN,616,N468WN,82.0,80.0,52.0,25.0,23.0,PHX,ONT,325,4.0,26.0,0,N,0,11.0,0.0,2.0,0.0,12.0
4890,2008,1,4,5,1118.0,1110,1136.0,1130,WN,876,N296WN,78.0,80.0,56.0,6.0,8.0,PHX,ONT,325,6.0,16.0,0,N,0,,,,,
4891,2008,1,4,5,1739.0,1720,1745.0,1730,WN,966,N369SW,66.0,70.0,56.0,15.0,19.0,PHX,ONT,325,5.0,5.0,0,N,0,0.0,0.0,0.0,8.0,7.0
4893,2008,1,4,5,2330.0,2135,2336.0,2145,WN,2369,N405WN,66.0,70.0,53.0,111.0,115.0,PHX,ONT,325,6.0,7.0,0,N,0,41.0,0.0,0.0,0.0,70.0
4897,2008,1,4,5,1333.0,1325,1345.0,1335,WN,3767,N698SW,72.0,70.0,54.0,10.0,8.0,PHX,ONT,325,5.0,13.0,0,N,0,,,,,
4899,2008,1,4,5,1411.0,1345,1551.0,1540,WN,1012,N686SW,160.0,175.0,148.0,11.0,26.0,PHX,PDX,1009,4.0,8.0,0,N,0,,,,,
4901,2008,1,4,5,947.0,940,1555.0,1600,WN,175,N291WN,248.0,260.0,231.0,-5.0,7.0,PHX,PHL,2075,5.0,12.0,0,N,0,,,,,
4902,2008,1,4,5,1609.0,1600,2216.0,2220,WN,287,N785SW,247.0,260.0,233.0,-4.0,9.0,PHX,PHL,2075,4.0,10.0,0,N,0,,,,,
4903,2008,1,4,5,1319.0,1310,1858.0,1905,WN,3657,N430WN,219.0,235.0,198.0,-7.0,9.0,PHX,PIT,1813,6.0,15.0,0,N,0,,,,,
4904,2008,1,4,5,946.0,920,1612.0,1605,WN,2452,N274WN,266.0,285.0,251.0,7.0,26.0,PHX,PVD,2277,5.0,10.0,0,N,0,,,,,
4906,2008,1,4,5,2214.0,2120,2249.0,2210,WN,489,N225WN,95.0,110.0,83.0,39.0,54.0,PHX,RNO,601,7.0,5.0,0,N,0,0.0,0.0,39.0,0.0,0.0
4907,2008,1,4,5,1503.0,1430,1558.0,1520,WN,736,N611SW,115.0,110.0,97.0,38.0,33.0,PHX,RNO,601,4.0,14.0,0,N,0,33.0,0.0,5.0,0.0,0.0
4908,2008,1,4,5,1035.0,1020,1136.0,1115,WN,1144,N486WN,121.0,115.0,95.0,21.0,15.0,PHX,RNO,601,4.0,22.0,0,N,0,14.0,0.0,6.0,0.0,1.0
4909,2008,1,4,5,1431.0,1405,1440.0,1410,WN,123,N752SW,69.0,65.0,56.0,30.0,26.0,PHX,SAN,304,3.0,10.0,0,N,0,13.0,0.0,4.0,0.0,13.0
4910,2008,1,4,5,2233.0,2120,2234.0,2125,WN,242,N343SW,61.0,65.0,51.0,69.0,73.0,PHX,SAN,304,4.0,6.0,0,N,0,26.0,0.0,0.0,0.0,43.0
4911,2008,1,4,5,2140.0,2045,2142.0,2050,WN,381,N251WN,62.0,65.0,51.0,52.0,55.0,PHX,SAN,304,3.0,8.0,0,N,0,1.0,0.0,0.0,0.0,51.0
4913,2008,1,4,5,1205.0,1155,1222.0,1205,WN,585,N672SW,77.0,70.0,61.0,17.0,10.0,PHX,SAN,304,2.0,14.0,0,N,0,10.0,0.0,7.0,0.0,0.0
4914,2008,1,4,5,1055.0,1030,1108.0,1045,WN,1010,N741SA,73.0,75.0,60.0,23.0,25.0,PHX,SAN,304,3.0,10.0,0,N,0,11.0,0.0,0.0,0.0,12.0
4915,2008,1,4,5,913.0,845,929.0,855,WN,1069,N603SW,76.0,70.0,62.0,34.0,28.0,PHX,SAN,304,3.0,11.0,0,N,0,11.0,0.0,6.0,0.0,17.0
4917,2008,1,4,5,1745.0,1730,1750.0,1735,WN,1511,N259WN,65.0,65.0,55.0,15.0,15.0,PHX,SAN,304,3.0,7.0,0,N,0,0.0,0.0,0.0,0.0,15.0
4919,2008,1,4,5,1634.0,1610,1650.0,1615,WN,1600,N391SW,76.0,65.0,58.0,35.0,24.0,PHX,SAN,304,3.0,15.0,0,N,0,4.0,0.0,11.0,0.0,20.0
4923,2008,1,4,5,925.0,910,1222.0,1210,WN,327,N655WN,117.0,120.0,104.0,12.0,15.0,PHX,SAT,843,3.0,10.0,0,N,0,,,,,
4924,2008,1,4,5,2047.0,2025,2338.0,2325,WN,796,N292WN,111.0,120.0,101.0,13.0,22.0,PHX,SAT,843,3.0,7.0,0,N,0,,,,,
4925,2008,1,4,5,1715.0,1615,2005.0,1915,WN,2015,N401WN,110.0,120.0,97.0,50.0,60.0,PHX,SAT,843,3.0,10.0,0,N,0,13.0,0.0,0.0,0.0,37.0
4926,2008,1,4,5,1213.0,1200,1511.0,1505,WN,3168,N329SW,118.0,125.0,103.0,6.0,13.0,PHX,SAT,843,2.0,13.0,0,N,0,,,,,
4928,2008,1,4,5,856.0,850,1042.0,1105,WN,754,N767SW,166.0,195.0,151.0,-23.0,6.0,PHX,SEA,1107,4.0,11.0,0,N,0,,,,,
4929,2008,1,4,5,1220.0,1145,1408.0,1400,WN,1481,N755SA,168.0,195.0,156.0,8.0,35.0,PHX,SEA,1107,3.0,9.0,0,N,0,,,,,
4930,2008,1,4,5,1951.0,1935,2135.0,2145,WN,2361,N649SW,164.0,190.0,153.0,-10.0,16.0,PHX,SEA,1107,5.0,6.0,0,N,0,,,,,
4932,2008,1,4,5,1920.0,1845,2011.0,1940,WN,177,N768SW,111.0,115.0,103.0,31.0,35.0,PHX,SJC,621,3.0,5.0,0,N,0,0.0,0.0,0.0,0.0,31.0
4934,2008,1,4,5,1440.0,1415,1537.0,1510,WN,2094,N651SW,117.0,115.0,103.0,27.0,25.0,PHX,SJC,621,4.0,10.0,0,N,0,24.0,0.0,2.0,0.0,1.0
4938,2008,1,4,5,1901.0,1845,2028.0,2020,WN,410,N618WN,87.0,95.0,79.0,8.0,16.0,PHX,SLC,507,3.0,5.0,0,N,0,,,,,
4939,2008,1,4,5,1104.0,1055,1237.0,1235,WN,414,N447WN,93.0,100.0,75.0,2.0,9.0,PHX,SLC,507,6.0,12.0,0,N,0,,,,,
4940,2008,1,4,5,2130.0,2120,2256.0,2250,WN,980,N282WN,86.0,90.0,74.0,6.0,10.0,PHX,SLC,507,4.0,8.0,0,N,0,,,,,
4941,2008,1,4,5,1435.0,1425,1604.0,1600,WN,1022,N449WN,89.0,95.0,75.0,4.0,10.0,PHX,SLC,507,4.0,10.0,0,N,0,,,,,
4943,2008,1,4,5,1754.0,1655,1930.0,1830,WN,1684,N403WN,96.0,95.0,79.0,60.0,59.0,PHX,SLC,507,6.0,11.0,0,N,0,0.0,0.0,1.0,0.0,59.0
4947,2008,1,4,5,1256.0,1240,1407.0,1340,WN,331,N618WN,131.0,120.0,117.0,27.0,16.0,PHX,SMF,647,6.0,8.0,0,N,0,10.0,0.0,11.0,0.0,6.0
4949,2008,1,4,5,2234.0,2135,2335.0,2235,WN,1309,N675AA,121.0,120.0,106.0,60.0,59.0,PHX,SMF,647,4.0,11.0,0,N,0,0.0,0.0,1.0,0.0,59.0
4951,2008,1,4,5,1645.0,1635,1748.0,1735,WN,3941,N698SW,123.0,120.0,106.0,13.0,10.0,PHX,SMF,647,5.0,12.0,0,N,0,,,,,
4952,2008,1,4,5,1145.0,1135,1213.0,1155,WN,259,N484WN,88.0,80.0,61.0,18.0,10.0,PHX,SNA,338,3.0,24.0,0,N,0,0.0,0.0,8.0,0.0,10.0
4954,2008,1,4,5,2205.0,2135,2218.0,2150,WN,473,N460WN,73.0,75.0,60.0,28.0,30.0,PHX,SNA,338,4.0,9.0,0,N,0,0.0,0.0,0.0,0.0,28.0
4959,2008,1,4,5,1442.0,1330,1502.0,1345,WN,3501,N464WN,80.0,75.0,61.0,77.0,72.0,PHX,SNA,338,6.0,13.0,0,N,0,0.0,0.0,5.0,0.0,72.0
4961,2008,1,4,5,1742.0,1705,2129.0,2055,WN,868,N380SW,167.0,170.0,152.0,34.0,37.0,PHX,STL,1262,4.0,11.0,0,N,0,0.0,0.0,0.0,14.0,20.0
4965,2008,1,4,5,1109.0,945,1644.0,1540,WN,243,N400WN,215.0,235.0,199.0,64.0,84.0,PHX,TPA,1788,3.0,13.0,0,N,0,64.0,0.0,0.0,0.0,0.0
4966,2008,1,4,5,2213.0,2040,118.0,2355,WN,504,N600WN,125.0,135.0,115.0,83.0,93.0,PHX,TUL,935,3.0,7.0,0,N,0,0.0,0.0,0.0,0.0,83.0
4967,2008,1,4,5,1504.0,1355,1807.0,1710,WN,627,N744SW,123.0,135.0,107.0,57.0,69.0,PHX,TUL,935,3.0,13.0,0,N,0,57.0,0.0,0.0,0.0,0.0
4970,2008,1,4,5,1039.0,1005,1137.0,1100,WN,1414,N689SW,58.0,55.0,45.0,37.0,34.0,PIT,BWI,210,4.0,9.0,0,N,0,34.0,0.0,3.0,0.0,0.0
4972,2008,1,4,5,1652.0,1645,1838.0,1840,WN,94,N440LV,286.0,295.0,270.0,-2.0,7.0,PIT,LAS,1910,5.0,11.0,0,N,0,,,,,
4974,2008,1,4,5,900.0,720,1111.0,945,WN,987,N716SW,131.0,145.0,110.0,86.0,100.0,PIT,MCO,834,6.0,15.0,0,N,0,86.0,0.0,0.0,0.0,0.0
4976,2008,1,4,5,2020.0,2010,2213.0,2225,WN,3592,N739GB,113.0,135.0,103.0,-12.0,10.0,PIT,MCO,834,3.0,7.0,0,N,0,,,,,
4982,2008,1,4,5,1008.0,900,1026.0,935,WN,3501,N464WN,78.0,95.0,66.0,51.0,68.0,PIT,MDW,402,5.0,7.0,0,N,0,45.0,0.0,0.0,0.0,6.0
4983,2008,1,4,5,1531.0,1455,1634.0,1610,WN,374,N439WN,63.0,75.0,48.0,24.0,36.0,PIT,PHL,267,4.0,11.0,0,N,0,24.0,0.0,0.0,0.0,0.0
4984,2008,1,4,5,1829.0,1815,2004.0,1950,WN,548,N439WN,95.0,95.0,71.0,14.0,14.0,PIT,PHL,267,4.0,20.0,0,N,0,,,,,
4988,2008,1,4,5,806.0,755,906.0,905,WN,2724,N747SA,60.0,70.0,50.0,1.0,11.0,PIT,PHL,267,3.0,7.0,0,N,0,,,,,
4990,2008,1,4,5,1331.0,1325,1605.0,1615,WN,458,N268WN,274.0,290.0,260.0,-10.0,6.0,PIT,PHX,1813,5.0,9.0,0,N,0,,,,,
4994,2008,1,4,5,1644.0,1630,1753.0,1750,WN,421,N274WN,69.0,80.0,54.0,3.0,14.0,PVD,BWI,328,3.0,12.0,0,N,0,,,,,
4996,2008,1,4,5,1750.0,1730,1859.0,1850,WN,1062,N606SW,69.0,80.0,58.0,9.0,20.0,PVD,BWI,328,3.0,8.0,0,N,0,,,,,
5001,2008,1,4,5,932.0,925,1043.0,1040,WN,2442,N256WN,71.0,75.0,58.0,3.0,7.0,PVD,BWI,328,4.0,9.0,0,N,0,,,,,
5003,2008,1,4,5,1511.0,1455,1625.0,1610,WN,2795,N604SW,74.0,75.0,59.0,15.0,16.0,PVD,BWI,328,3.0,12.0,0,N,0,4.0,0.0,0.0,0.0,11.0
5006,2008,1,4,5,747.0,730,1031.0,1040,WN,3423,N451WN,344.0,370.0,329.0,-9.0,17.0,PVD,LAS,2363,7.0,8.0,0,N,0,,,,,
5007,2008,1,4,5,1247.0,1230,1528.0,1540,WN,186,N414WN,161.0,190.0,148.0,-12.0,17.0,PVD,MCO,1073,5.0,8.0,0,N,0,,,,,
5011,2008,1,4,5,2126.0,2030,2354.0,2330,WN,2451,N400WN,148.0,180.0,139.0,24.0,56.0,PVD,MCO,1073,3.0,6.0,0,N,0,0.0,0.0,0.0,0.0,24.0
5012,2008,1,4,5,1552.0,1545,1841.0,1850,WN,3134,N269WN,169.0,185.0,154.0,-9.0,7.0,PVD,MCO,1073,6.0,9.0,0,N,0,,,,,
5019,2008,1,4,5,1356.0,1340,1501.0,1500,WN,1338,N294WN,65.0,80.0,50.0,1.0,16.0,PVD,PHL,238,5.0,10.0,0,N,0,,,,,
5022,2008,1,4,5,1619.0,1610,1958.0,2005,WN,3061,N753SW,339.0,355.0,324.0,-7.0,9.0,PVD,PHX,2277,6.0,9.0,0,N,0,,,,,
5024,2008,1,4,5,1346.0,1335,1638.0,1650,WN,3405,N299WN,172.0,195.0,162.0,-12.0,11.0,PVD,TPA,1137,3.0,7.0,0,N,0,,,,,
5030,2008,1,4,5,1751.0,1745,1832.0,1820,WN,2821,N790SW,101.0,95.0,71.0,12.0,6.0,RDU,BNA,443,18.0,12.0,0,N,0,,,,,
5036,2008,1,4,5,923.0,900,1017.0,1000,WN,3569,N276WN,54.0,60.0,43.0,17.0,23.0,RDU,BWI,255,6.0,5.0,0,N,0,0.0,0.0,0.0,0.0,17.0
5038,2008,1,4,5,726.0,715,935.0,930,WN,1945,N551WN,309.0,315.0,292.0,5.0,11.0,RDU,LAS,2027,5.0,12.0,0,N,0,,,,,
5040,2008,1,4,5,1323.0,1255,1458.0,1440,WN,1414,N689SW,95.0,105.0,78.0,18.0,28.0,RDU,MCO,534,7.0,10.0,0,N,0,0.0,0.0,0.0,0.0,18.0
5045,2008,1,4,5,1902.0,1835,1958.0,1940,WN,1076,N388SW,116.0,125.0,105.0,18.0,27.0,RDU,MDW,632,5.0,6.0,0,N,0,0.0,0.0,0.0,0.0,18.0
5050,2008,1,4,5,2102.0,2040,2211.0,2155,WN,882,N214WN,69.0,75.0,58.0,16.0,22.0,RDU,PHL,336,4.0,7.0,0,N,0,1.0,0.0,0.0,0.0,15.0
5052,2008,1,4,5,707.0,700,823.0,815,WN,2206,N441WN,76.0,75.0,59.0,8.0,7.0,RDU,PHL,336,7.0,10.0,0,N,0,,,,,
5053,2008,1,4,5,1048.0,1015,1332.0,1320,WN,221,N766SW,284.0,305.0,272.0,12.0,33.0,RDU,PHX,1891,7.0,5.0,0,N,0,,,,,
5055,2008,1,4,5,1917.0,1910,2053.0,2100,WN,2634,N218WN,96.0,110.0,81.0,-7.0,7.0,RDU,TPA,587,6.0,9.0,0,N,0,,,,,
5056,2008,1,4,5,652.0,625,832.0,820,WN,3266,N694SW,100.0,115.0,87.0,12.0,27.0,RDU,TPA,587,5.0,8.0,0,N,0,,,,,
5059,2008,1,4,5,1446.0,1410,1658.0,1615,WN,3589,N392SW,72.0,65.0,47.0,43.0,36.0,RNO,BOI,335,3.0,22.0,0,N,0,0.0,0.0,7.0,0.0,36.0
5060,2008,1,4,5,1313.0,1255,1434.0,1410,WN,120,N614SW,81.0,75.0,55.0,24.0,18.0,RNO,LAS,345,7.0,19.0,0,N,0,5.0,0.0,6.0,0.0,13.0
5061,2008,1,4,5,1130.0,1115,1259.0,1225,WN,380,N239WN,89.0,70.0,52.0,34.0,15.0,RNO,LAS,345,6.0,31.0,0,N,0,9.0,0.0,19.0,0.0,6.0
5062,2008,1,4,5,1635.0,1545,1754.0,1655,WN,637,N611SW,79.0,70.0,58.0,59.0,50.0,RNO,LAS,345,10.0,11.0,0,N,0,12.0,0.0,9.0,0.0,38.0
